AppID,Recommendations,Estimated owners,Average playtime forever,Average playtime two weeks,Median playtime forever,Median playtime two weeks,Peak CCU
10140,0,0 - 20000,0,0,0,0,0
10150,7529,500000 - 1000000,1591,8,250,16,67
10180,24353,5000000 - 10000000,776,294,374,294,545
10190,24353,5000000 - 10000000,5848,388,1550,388,483
10220,2065,100000 - 200000,1257,0,1288,0,7
10230,0,20000 - 50000,0,0,0,0,0
10240,0,0 - 20000,34,0,34,0,0
10250,0,0 - 20000,0,0,0,0,1
10260,0,0 - 20000,0,0,0,0,0
10270,1003,100000 - 200000,6504,0,7652,0,65
10460,113,20000 - 50000,3,0,6,0,1
10500,15251,2000000 - 5000000,3458,0,1159,0,3614
10520,0,0 - 20000,0,0,0,0,0
10680,11433,1000000 - 2000000,637,140,338,140,77
11020,174,2000000 - 5000000,374,21,63,23,653
11040,362,100000 - 200000,385,0,424,0,9
11050,178,50000 - 100000,8,0,8,0,3
11130,0,100000 - 200000,1,0,1,0,0
11140,446,100000 - 200000,315,0,315,0,5
11150,380,100000 - 200000,24,0,25,0,5
11190,739,100000 - 200000,360,0,360,0,4
11200,511,200000 - 500000,185,0,168,0,2
11230,306,50000 - 100000,10,0,11,0,0
11240,436,100000 - 200000,82,0,91,0,1
11250,0,0 - 20000,142,0,155,0,0
11260,167,50000 - 100000,140,0,180,0,2
11280,697,100000 - 200000,151,0,170,0,2
11330,520,100000 - 200000,24,0,48,0,0
11340,506,100000 - 200000,23,0,28,0,0
11360,394,20000 - 50000,383,0,388,0,0
11370,235,100000 - 200000,72,0,131,0,0
11390,1085,0 - 0,0,0,0,0,0
11450,3931,500000 - 1000000,248,0,136,0,66
11480,493,100000 - 200000,1200,0,1235,0,6
11550,113,0 - 20000,0,0,0,0,0
11560,121,20000 - 50000,0,0,0,0,0
11590,356,50000 - 100000,412,1133,615,1133,5
11610,0,500000 - 1000000,1316,0,1242,0,31
11920,0,0 - 20000,4,0,4,0,0
12100,10569,2000000 - 5000000,590,0,90,0,48
12110,22971,2000000 - 5000000,496,40,94,40,205
12120,68011,5000000 - 10000000,1531,1308,438,1308,632
12130,2268,200000 - 500000,131,0,246,0,25
12140,8684,500000 - 1000000,168,79,80,79,49
12150,5287,500000 - 1000000,334,61,173,61,42
12160,522,200000 - 500000,6,0,7,0,3
12170,217,500000 - 1000000,35,0,15,0,1
12180,170,500000 - 1000000,27,0,24,0,0
12200,19581,1000000 - 2000000,366,97,113,97,366
12210,91180,2000000 - 5000000,1471,441,578,678,3439
12220,7567,2000000 - 5000000,0,0,0,0,0
12310,0,20000 - 50000,0,0,0,0,0
12320,2934,200000 - 500000,624,0,697,0,92
12330,465,100000 - 200000,41,0,41,0,4
12340,0,20000 - 50000,663,0,663,0,2
12360,3456,200000 - 500000,477,1,181,1,39
12370,0,50000 - 100000,840,0,840,0,13
12380,0,50000 - 100000,0,0,0,0,0
12390,128,20000 - 50000,0,0,0,0,0
12420,0,0 - 20000,212,0,212,0,0
12430,102,0 - 20000,0,0,0,0,0
12440,0,20000 - 50000,0,0,0,0,0
12450,0,0 - 20000,0,0,0,0,0
12460,167,20000 - 50000,13,0,19,0,1
12470,463,50000 - 100000,48,0,64,0,26
12480,157,20000 - 50000,31,0,31,0,0
12500,805,50000 - 100000,14459,0,14716,0,24
12510,114,20000 - 50000,0,0,0,0,1
12520,356,50000 - 100000,1454,0,1482,0,3
12530,0,20000 - 50000,0,0,0,0,1
12540,0,20000 - 50000,0,0,0,0,1
12560,0,0 - 20000,0,0,0,0,0
12570,0,20000 - 50000,0,0,0,0,0
12580,0,20000 - 50000,0,0,0,0,0
12590,0,20000 - 50000,0,0,0,0,0
12600,0,20000 - 50000,0,0,0,0,0
12640,433,100000 - 200000,1009,0,1046,0,18
12650,0,0 - 20000,0,0,0,0,0
12660,0,0 - 20000,0,0,0,0,0
12670,0,0 - 20000,0,0,0,0,0
12690,199,50000 - 100000,591,0,591,0,1
12710,1278,500000 - 1000000,439,0,110,0,34
12770,311,200000 - 500000,291,0,372,0,2
12790,218,50000 - 100000,42,0,63,0,0
12810,3087,1000000 - 2000000,485,0,215,0,74
12830,1383,500000 - 1000000,151,0,74,0,15
12900,8330,1000000 - 2000000,626,33,238,33,16
13000,0,0 - 20000,0,0,0,0,0
13140,0,500000 - 1000000,40,0,14,0,6
13200,414,200000 - 500000,106,0,122,0,3
13210,2283,500000 - 1000000,308,0,164,0,29
13230,2970,500000 - 1000000,186,0,132,0,82
13240,2974,500000 - 1000000,181,0,85,0,34
13250,1121,200000 - 500000,136,143,27,143,14
13500,1979,200000 - 500000,61,10,77,10,18
13520,6339,1000000 - 2000000,189,0,73,0,70
13530,1247,200000 - 500000,102,0,152,0,12
13540,850,100000 - 200000,352,0,533,0,9
13560,2091,200000 - 500000,293,0,341,0,29
13570,3301,200000 - 500000,181,0,188,0,33
13580,1185,200000 - 500000,138,0,158,0,7
13600,2406,200000 - 500000,183,0,135,0,30
13620,0,200000 - 500000,1,0,1,0,3
13630,0,20000 - 50000,2,0,2,0,2
15000,302,100000 - 200000,35,0,68,0,1
15080,813,50000 - 100000,108,0,181,0,1
15100,12751,1000000 - 2000000,719,33,303,33,164
15120,3973,500000 - 1000000,1126,0,308,0,46
15130,2679,200000 - 500000,559,0,367,0,13
15160,0,0 - 20000,1475,0,1475,0,3
15170,2710,500000 - 1000000,998,0,410,0,312
15190,1251,100000 - 200000,144,0,167,0,15
15200,767,100000 - 200000,332,0,635,0,42
15210,1764,100000 - 200000,283,29,406,29,68
15240,232,50000 - 100000,272,0,452,0,15
15270,725,50000 - 100000,201,26,202,26,2
15280,1974,0 - 20000,0,0,0,0,0
15300,999,200000 - 500000,27,0,30,0,16
15320,1974,200000 - 500000,112,0,38,0,32
15350,0,0 - 20000,0,0,0,0,0
15370,2006,200000 - 500000,2348,0,1569,0,340
15380,221,20000 - 50000,104,0,113,0,35
15390,1494,100000 - 200000,462,0,536,0,9
15400,112,20000 - 50000,145,0,235,0,1
15500,493,100000 - 200000,114,0,123,0,1
15520,611,100000 - 200000,105,0,123,0,0
15560,519,200000 - 500000,28,6,19,6,1
15620,5396,2000000 - 5000000,1483,3,478,3,218
15700,1849,5000000 - 10000000,223,0,232,0,12
15710,1201,200000 - 500000,406,0,547,0,8
15740,798,100000 - 200000,109,0,76,0,8
15750,1169,200000 - 500000,214,0,229,0,8
15800,0,0 - 20000,0,0,0,0,0
15900,0,50000 - 100000,0,0,0,0,5
15910,0,0 - 20000,0,0,0,0,0
15920,0,0 - 20000,0,0,0,0,0
15930,0,20000 - 50000,33,0,33,0,6
15960,0,20000 - 50000,0,0,0,0,0
15970,0,20000 - 50000,0,0,0,0,0
16000,0,0 - 20000,0,0,0,0,0
16020,0,20000 - 50000,0,0,0,0,1
16030,0,20000 - 50000,0,0,0,0,3
16040,0,20000 - 50000,0,0,0,0,2
16060,0,20000 - 50000,0,0,0,0,0
16100,0,0 - 20000,0,0,0,0,1
16110,0,0 - 20000,0,0,0,0,7
16120,109,0 - 20000,0,0,0,0,12
16130,0,0 - 20000,1815,0,1815,0,7
16180,0,0 - 20000,0,0,0,0,9
16200,0,0 - 20000,0,0,0,0,4
16300,0,20000 - 50000,3,0,3,0,0
16450,3226,500000 - 1000000,396,0,394,0,53
16500,0,0 - 20000,0,0,0,0,0
16600,225,50000 - 100000,282,0,342,0,0
16620,0,0 - 20000,0,0,0,0,0
16710,338,100000 - 200000,43,0,45,0,1
16720,1879,200000 - 500000,33,0,34,0,3
16730,1889,200000 - 500000,123,0,177,0,4
16810,776,1000000 - 2000000,184,0,188,0,273
16900,7761,500000 - 1000000,577,234,732,234,780
17020,361,200000 - 500000,1138,0,824,0,1
17080,0,1000000 - 2000000,750,0,81,0,14
17100,335,50000 - 100000,939,0,1007,0,9
17120,122,20000 - 50000,19,0,19,0,11
17140,184,50000 - 100000,151,0,151,0,1
17180,0,20000 - 50000,232,0,232,0,0
17300,11466,1000000 - 2000000,362,2,211,2,14
17330,3021,1000000 - 2000000,97,0,37,0,19
17340,3021,500000 - 1000000,57,0,14,0,1
17390,41372,2000000 - 5000000,813,242,337,245,1063
17410,25161,2000000 - 5000000,235,0,138,0,95
17430,7066,1000000 - 2000000,695,0,98,0,20
17440,1376,500000 - 1000000,152,0,67,0,56
17450,9049,500000 - 1000000,2600,0,1808,0,34
17460,14198,1000000 - 2000000,1151,0,609,0,78
17470,16949,1000000 - 2000000,601,398,136,398,170
17480,9962,1000000 - 2000000,1287,8720,321,8782,686
17500,0,500000 - 1000000,97,0,38,0,43
17570,0,1000000 - 2000000,1715,22,111,22,15
17580,0,200000 - 500000,87,0,128,0,1
17710,1514,200000 - 500000,181,0,151,0,6
17740,0,500000 - 1000000,41,0,76,0,1
18000,315,200000 - 500000,352,0,317,0,0
18020,124,100000 - 200000,434,0,483,0,0
18040,512,50000 - 100000,187,0,241,0,0
18049,512,0 - 20000,0,0,0,0,0
18050,129,50000 - 100000,9,0,9,0,2
18070,109,100000 - 200000,0,0,0,0,0
18110,298,100000 - 200000,20,0,23,0,0
18120,190,50000 - 100000,64,0,105,0,1
18300,413,200000 - 500000,236,0,333,0,3
18400,101,100000 - 200000,215,0,193,0,0
18420,0,50000 - 100000,28,0,42,0,1
18430,0,0 - 20000,0,0,0,0,0
18450,0,50000 - 100000,2,0,2,0,0
18460,0,50000 - 100000,8,0,8,0,1
18470,0,50000 - 100000,49,0,49,0,3
18480,0,50000 - 100000,0,0,0,0,0
18500,3766,500000 - 1000000,680,0,219,0,68
18600,0,0 - 20000,0,0,0,0,0
18700,261,200000 - 500000,63,0,40,0,1
